"chrom","start","end","GeneCount","unlist(genhits)","CHR","BP","P"
"chr3",84272950,84443650,0,"","chr3",84443353,4.68968079327963e-07
"chr3",82989850,83268650,2,"Zm00001d040958;Zm00001d040959","chr3",83075005,6.02962035870214e-07
"chr1",247791950,247826150,1,"Zm00001d033030","chr1",247824732,6.04505106726066e-07
"chr5",211454150,211550150,3,"Zm00001d017988;Zm00001d017989;Zm00001d017990","chr5",211459240,7.24153181018189e-07
"chr4",203404650,203505550,3,"Zm00001d052885;Zm00001d052886;Zm00001d052888","chr4",203406378,8.01451121660254e-07
"chr9",80356850,80366250,1,"Zm00001d046323","chr9",80360358,1.0247175129851e-06
"chr3",81214450,81252150,0,"","chr3",81251728,1.59974699957298e-06
"chr7",110622250,110679150,2,"Zm00001d020385;Zm00001d020386","chr7",110622559,4.2769740162431e-06
"chr3",221170650,221177750,1,"Zm00001d044175","chr3",221172301,4.3412492752838e-06
"chr4",22936250,22989550,2,"Zm00001d049253;Zm00001d049254","chr4",22949063,4.39033542724246e-06
"chr3",220965850,221007850,2,"Zm00001d044168;Zm00001d044169","chr3",220966167,5.85791148781699e-06
"chr4",203330750,203398450,0,"","chr4",203363602,6.66062658938442e-06
"chr3",83919550,84136750,0,"","chr3",84120723,7.4528005017399e-06
"chr3",83512850,83605950,0,"","chr3",83605682,7.60330998908341e-06
"chr5",200076650,200141150,1,"Zm00001d017574","chr5",200140237,8.58198279971026e-06
"chr3",83693150,83811950,0,"","chr3",83811872,1.08309983876403e-05
"chr3",84472950,84506350,0,"","chr3",84486926,1.11168709053807e-05
"chr10",30622050,30797750,1,"Zm00001d023943","chr10",30797577,1.14540615339293e-05
"chr3",86821950,86870450,0,"","chr3",86855324,1.22728427507326e-05
"chr3",186197850,186205850,2,"Zm00001d042997;Zm00001d042998","chr3",186202705,1.39293768013414e-05
"chr9",80247050,80330250,0,"","chr9",80257872,1.6027779428984e-05
"chr1",183268350,183305950,1,"Zm00001d031241","chr1",183290720,1.75936513725694e-05
"chr9",80330250,80356850,2,"Zm00001d046322;Zm00001d046323","chr9",80351618,1.82480132697937e-05
"chr3",144263150,144358150,1,"Zm00001d041935","chr3",144357836,1.88628398894447e-05
"chr2",80961750,81026050,0,"","chr2",81020908,1.91125980736362e-05
"chr10",115434950,115516050,2,"Zm00001d025358;Zm00001d025359","chr10",115506091,1.92614197174803e-05
"chr3",193987550,193990550,1,"Zm00001d043273","chr3",193987580,1.99674523666112e-05
"chr1",150417750,150431850,0,"","chr1",150431281,2.0906281246614e-05
"chr5",192698350,192705650,2,"Zm00001d017323;Zm00001d017324","chr5",192699874,2.12648904033264e-05
"chr3",52548350,52599350,0,"","chr3",52599246,2.13013158458467e-05
"chr3",83605950,83693150,0,"","chr3",83693139,2.19135122476368e-05
