"chrom","start","end","GeneCount","unlist(genhits)","CHR","BP","P"
"chr3",211907350,211957850,1,"Zm00001d043845","chr3",211908909,9.0681444159384e-09
"chr2",236383050,236504050,3,"Zm00001d007625;Zm00001d007629;Zm00001d007630","chr2",236407308,9.83025140618309e-09
"chr1",38208050,38288250,3,"Zm00001d028527;Zm00001d028528;Zm00001d028529","chr1",38242181,1.40351316787615e-08
"chr6",53486950,53645050,3,"Zm00001d035824;Zm00001d035825;Zm00001d035826","chr6",53598250,2.21753455179044e-08
"chr6",80946050,81127750,2,"Zm00001d036266;Zm00001d036267","chr6",81045405,2.25993737194755e-08
"chr1",38371450,38498350,3,"Zm00001d028532;Zm00001d028533;Zm00001d028534","chr1",38406048,1.65319989740298e-07
"chr4",136813250,137002350,1,"Zm00001d051014","chr4",136924709,2.92722408023661e-07
"chr6",58662850,58741850,5,"Zm00001d035894;Zm00001d035895;Zm00001d035897;Zm00001d035898;Zm00001d035899","chr6",58737423,3.28305070839876e-07
"chr6",49166050,49366650,1,"Zm00001d035789","chr6",49362130,3.72010348745985e-07
"chr4",161381550,161523550,2,"Zm00001d051526;Zm00001d051527","chr4",161421094,3.97905974430653e-07
"chr7",161938950,162025250,2,"Zm00001d021741;Zm00001d021742","chr7",161995044,3.98097988244991e-07
"chr4",26594350,26833950,2,"Zm00001d049330;Zm00001d049331","chr4",26655228,4.00265449225801e-07
"chr2",117244950,117325950,1,"Zm00001d004546","chr2",117282250,4.24940371392476e-07
"chr4",43212150,43482650,3,"Zm00001d049757;Zm00001d049759;Zm00001d049760","chr4",43398458,5.60559238387951e-07
"chr5",57815950,57938250,5,"Zm00001d014658;Zm00001d014659;Zm00001d014660;Zm00001d014661;Zm00001d014663","chr5",57817441,6.82034711974484e-07
"chr7",166102650,166174550,1,"Zm00001d021933","chr7",166104761,7.09931992107021e-07
"chr4",100230750,100635850,1,"Zm00001d050557","chr4",100410611,8.81353033039451e-07
"chr2",121783450,121817850,0,"","chr2",121802527,1.01510282930461e-06
"chr3",160176550,160286850,2,"Zm00001d042309;Zm00001d042310","chr3",160270209,1.08338785874417e-06
"chr5",202880150,202883750,2,"Zm00001d017641;Zm00001d017642","chr5",202882378,1.1332033575184e-06
"chr6",54194350,54441050,2,"Zm00001d035835;Zm00001d035838","chr6",54257736,1.30678563994631e-06
"chr6",55361750,55594250,2,"Zm00001d035845;Zm00001d035846","chr6",55468110,1.66411889814797e-06
"chr9",135512050,135548750,0,"","chr9",135545941,1.76626061214693e-06
"chr5",57767950,57815950,1,"Zm00001d014658","chr5",57813302,1.85578360499817e-06
"chr10",150300450,150317850,1,"Zm00001d026698","chr10",150316922,1.87921123138914e-06
"chr2",64882850,64943050,0,"","chr2",64904784,1.87997447614187e-06
"chr5",45952350,45959350,1,"Zm00001d014422","chr5",45956490,1.98015887520868e-06
"chr2",121609450,121747650,1,"Zm00001d004611","chr2",121700382,2.09927796739502e-06
"chr9",156525550,156587350,4,"Zm00001d048443;Zm00001d048444;Zm00001d048445;Zm00001d048446","chr9",156575944,2.21205627552918e-06
