chrom,start,end,GeneCount,unlist(genhits),BP,P,DroughtHitBase,DroughtHitP
chr9,148361250,148366850,1,Zm00001d048029,148365695,1.12410891415505e-31,148365668,0.000414296278696077
chr9,148361250,148366850,1,Zm00001d048029,148365695,1.12410891415505e-31,148365668,0.000414296278696077
chr9,148602350,148607750,1,Zm00001d048040,148606533,2.74627438351299e-27,148606668,5.03632542938935e-05
chr7,88846350,88873050,0,,88856498,9.00265823396779e-19,88856164,4.28260079972506e-05
chr5,202883650,202926750,1,Zm00001d017642,202883744,1.66757872303289e-15,202883833,0.000813527557462151
chr3,98494750,98678450,0,,98496660,9.87763523048613e-15,98497843,1.10479986787497e-08
chr10,77529950,77546850,2,Zm00001d024543;Zm00001d024544,77533301,1.14412504234745e-14,77543586,0.000128665517086982
chr5,103245550,103264750,1,Zm00001d015654,103264037,3.86686885524921e-14,103264127,1.32963455592805e-06
chr3,100621850,100772350,1,Zm00001d041159,100706105,4.28007961076019e-14,100706165,1.91451743630727e-09
chr4,202673050,202844450,5,Zm00001d052855;Zm00001d052856;Zm00001d052858;Zm00001d052859;Zm00001d052860,202688316,1.24767478006678e-13,202763765,9.71683827057903e-05
chr9,122510550,122517750,0,,122512703,1.47403661502256e-12,122511893,0.000163696381793301
chr8,70844350,70848650,0,,70845347,1.87670559383604e-12,70845675,4.8198741660205e-07
chr2,236402950,236509850,3,Zm00001d007625;Zm00001d007629;Zm00001d007630,236408874,2.66400302504386e-12,236407308,0.000737952108891975
chr3,99510350,99548450,0,,99542044,4.3822781064609e-12,99542044,1.46454257728195e-09
chr4,203327450,203502550,4,Zm00001d052883;Zm00001d052885;Zm00001d052886;Zm00001d052888,203406378,7.5404794516581e-12,203363602,1.0245271151732e-08
chr8,48662750,48672650,1,Zm00001d009264,48670351,1.19172091946492e-11,48671758,0.000171427446293082
chr5,182749450,182810650,1,Zm00001d017019,182810536,1.72302434662004e-11,182810462,0.000222636474013505
